CTUID,cisr_dim1,cisr_dim2,cisr_dim3,cisr_score,cisr_quintile,cisv_dim1,cisv_dim2,cisv_dim3,cisv_dim4,cisv_score,cisv_quintile
5350362.03,0.5138,0.6115,0.2227,0.4493,4.2308,1.0182,0.0129,-0.1006,-1.0528,-0.0306,3.2308
5350362.04,0.3669,0.5278,-0.4168,0.1593,3.6667,1.2607,0.3866,-0.2691,-0.4854,0.2232,4.1667
5350363.02,0.717,0.3446,-0.6368,0.1416,3.5,1.0341,0.3907,-0.3411,-0.3876,0.174,3.6667
5350363.04,0.6385,0.5297,0.2311,0.4664,4.2,1.2448,-0.4359,-0.2784,-0.6758,-0.0363,3.0
5350363.05,0.3443,-0.6728,0.3099,-0.0062,3.0,2.2143,-0.1433,0.007,0.9155,0.7484,4.5
5350363.06,0.7958,-0.5656,1.1319,0.454,4.0,3.1098,0.0274,-1.0774,0.9238,0.7459,5.0
5350363.07,0.2273,-1.5869,-0.7727,-0.7108,1.6667,2.6871,1.1325,0.5114,1.0975,1.3571,4.3333
5350364.01,0.3764,0.0271,-0.2544,0.0497,3.0,1.3253,-0.0102,0.0493,-0.2835,0.2702,3.8
5350364.02,0.5715,0.0667,-0.2233,0.1383,3.5,1.1665,0.0546,-0.0802,-0.6319,0.1272,3.5
5350365.00,0.3791,-0.2446,0.1763,0.1036,3.3636,1.6817,-0.3466,-0.0229,-0.1995,0.2782,3.9091
5350366.00,0.3689,-0.0138,-0.3547,0.0001,3.0,1.4116,0.0623,0.0514,-0.351,0.2936,3.7273
5350367.01,0.7867,-0.4273,0.2393,0.1996,3.6667,2.0162,-0.3998,-0.2671,-0.157,0.2981,3.5
5350367.02,0.4807,0.4573,-0.487,0.1503,3.5714,1.0572,0.2046,0.0016,-1.0251,0.0596,3.4286
5350368.01,1.0062,-0.8366,1.0006,0.39,4.1667,3.0612,0.3357,-1.1421,0.9238,0.7946,5.0
5350368.02,0.7173,0.0149,-0.913,-0.0603,2.875,1.3584,0.8729,-0.1429,-0.841,0.3118,3.625
5350369.00,0.4544,-0.1049,-0.1436,0.0687,3.25,1.5483,-0.0208,0.1445,-0.7343,0.2344,3.75
5350370.01,0.2519,-0.6635,0.201,-0.0702,2.7143,2.567,0.442,0.024,0.2212,0.8135,4.5714
5350370.02,0.2199,-0.4065,0.3796,0.0644,3.0,1.7821,-0.1476,0.0181,-0.2889,0.3409,4.1429
5350370.03,0.4405,-0.0208,-0.2957,0.0413,3.1429,1.3383,0.0647,0.2455,-0.6517,0.2492,4.0
5350371.00,0.5026,-0.0938,-0.0215,0.1291,3.5,1.2647,-0.109,0.1257,-0.5412,0.185,3.7143
5350372.00,0.4593,0.4051,-0.3088,0.1852,3.5,0.9763,-0.1315,0.0208,-0.8493,0.0041,3.125
5350373.00,0.5752,-0.3772,-0.0053,0.0643,3.1111,1.4078,-0.1683,-0.2183,-0.1323,0.2222,3.4444
5350374.01,0.8402,0.0579,0.1826,0.3602,3.8571,1.6284,-0.4224,-0.1051,-0.5024,0.1496,3.5714
5350374.02,0.4329,0.2601,-0.494,0.0663,3.1429,1.5778,0.4262,0.2453,-1.3461,0.2258,4.1429
5350374.03,0.488,-0.2225,-0.4899,-0.0748,2.8571,2.1034,0.5872,0.1675,-0.8837,0.4936,4.2857
5350375.01,0.9833,-0.4566,-0.8265,-0.0999,3.125,2.3777,1.7,-0.3886,-0.9367,0.6881,3.875
5350375.02,1.1391,0.9578,-0.4884,0.5361,4.3333,0.5545,0.0982,-0.827,-1.1299,-0.326,1.6667
5350375.03,0.7431,-0.0771,-0.4301,0.0786,3.1667,2.041,0.53,-0.1089,-0.8612,0.4003,3.6667
5350375.04,0.4613,0.2315,-0.0451,0.2159,3.625,2.2531,0.2178,0.0693,-1.2949,0.3113,3.875
5350375.05,1.0348,0.4363,-0.0699,0.4671,4.125,1.4311,0.0774,-0.3829,-1.0157,0.0275,3.0
5350376.01,0.0414,-0.3289,-0.3286,-0.2054,2.3,2.7026,0.4555,0.7395,-1.3519,0.6364,4.5
5350376.02,-0.0364,-0.0637,0.0112,-0.0296,2.8,2.9474,0.6166,0.7066,-1.6624,0.652,4.6
5350376.04,0.4588,0.0027,-0.6748,-0.0711,3.1667,2.9671,1.3636,0.014,-1.2125,0.783,4.3333
5350376.05,-0.2368,0.0144,0.3182,0.0319,3.1111,3.5269,1.0155,1.2579,-2.6537,0.7867,4.8889
