CTUID,temperature_c,apparent_temp_c,precipitation_mm,wind_speed_kmh,wind_gusts_kmh,weather_code,heat_days_per_yr,hot_days_per_yr,frost_days_per_yr,freezing_days_per_yr,annual_precip_mm,heavy_rain_days_per_yr,max_24h_precip_mm,max_wind_gust_kmh,mean_summer_tmax,in_flood_zone
5350520.09,19.0,20.9,0.0,10.9,13.7,0,4.0,50.333333333333336,112.0,30.0,892.7999999999998,3.0,46.8,53.2,17.737772585669784,False
5350528.44,19.3,21.3,0.0,11.6,14.0,0,17.333333333333332,74.5,129.83333333333334,34.666666666666664,917.9166666666669,2.6666666666666665,53.3,45.2,18.60646417445483,False
5350528.45,19.6,21.7,0.0,11.8,14.0,0,17.333333333333332,74.5,129.83333333333334,34.666666666666664,917.9166666666669,2.6666666666666665,53.3,45.2,18.60646417445483,False
5350528.46,20.2,22.4,0.0,12.9,15.8,0,17.333333333333332,74.5,129.83333333333334,34.666666666666664,917.9166666666669,2.6666666666666665,53.3,45.2,18.60646417445483,False
5350528.47,20.1,22.3,0.0,11.5,14.4,0,17.333333333333332,74.5,129.83333333333334,34.666666666666664,917.9166666666669,2.6666666666666665,53.3,45.2,18.60646417445483,False
5350528.49,21.0,23.0,0.0,14.4,15.8,0,17.333333333333332,74.5,129.83333333333334,34.666666666666664,917.9166666666669,2.6666666666666665,53.3,45.2,18.60646417445483,False
5350562.12,21.9,24.0,0.0,11.3,14.0,0,17.333333333333332,74.33333333333333,132.33333333333334,35.666666666666664,918.65,3.1666666666666665,54.6,45.7,18.564018691588785,False
5350562.13,21.8,23.6,0.0,13.0,15.5,0,17.333333333333332,74.33333333333333,132.33333333333334,35.666666666666664,918.65,3.1666666666666665,54.6,45.7,18.564018691588785,False
5350562.14,22.3,24.6,0.0,10.4,15.5,0,,,,,,,,,,False
5350562.15,22.3,24.5,0.0,10.4,15.5,0,,,,,,,,,,False
5350572.09,21.7,23.4,0.0,12.5,15.1,0,,,,,,,,,,False
5350572.1,21.7,23.4,0.0,12.5,15.1,0,,,,,,,,,,False
5350573.1,21.7,23.6,0.0,12.0,15.5,0,,,,,,,,,,False
5350573.11,21.7,23.6,0.0,12.0,15.5,0,,,,,,,,,,False
5350576.31,22.3,23.7,0.0,11.2,14.4,0,,,,,,,,,,False
5350576.33,22.4,23.8,0.0,11.2,14.4,0,,,,,,,,,,False
5350576.34,22.3,23.8,0.0,11.4,14.4,0,,,,,,,,,,False
5350576.43,22.4,23.9,0.0,11.4,14.4,0,,,,,,,,,,False
5350576.44,22.1,23.8,0.0,11.2,14.0,0,,,,,,,,,,False
5370002.06,21.9,23.6,0.0,9.8,11.9,0,,,,,,,,,,False
5370080.06,22.3,24.0,0.0,10.2,12.2,0,,,,,,,,,,False
5370080.07,22.2,24.0,0.0,10.4,11.9,0,,,,,,,,,,False
5350516.48,20.6,22.8,0.0,12.6,16.2,0,,,,,,,,,,False
5350576.52,22.0,23.6,0.0,11.2,14.0,0,,,,,,,,,,False
5350576.53,22.3,23.8,0.0,11.4,14.4,0,,,,,,,,,,False
5350576.54,22.3,23.7,0.0,10.7,15.1,0,,,,,,,,,,False
5350400.17,21.3,24.6,0.0,4.5,7.6,0,,,,,,,,,,False
5350400.18,21.1,24.4,0.0,6.4,8.6,1,,,,,,,,,,False
5350401.18,21.6,24.8,0.0,6.0,7.9,1,,,,,,,,,,False
5350401.19,21.3,24.5,0.0,6.1,7.9,0,,,,,,,,,,False
5350401.2,21.3,24.5,0.0,6.1,7.9,0,,,,,,,,,,False
5350401.21,21.3,24.5,0.0,6.1,7.9,0,,,,,,,,,,False
5350401.22,21.4,24.7,0.0,5.6,7.6,0,,,,,,,,,,False
5350401.23,21.4,24.6,0.0,5.6,7.6,0,,,,,,,,,,False
5350402.12,21.8,24.9,0.0,6.1,8.3,0,,,,,,,,,,False
5350402.13,21.9,25.0,0.0,6.1,8.3,0,,,,,,,,,,False
5350403.09,21.3,24.1,0.0,6.0,8.3,0,,,,,,,,,,False
5350403.1,21.3,23.8,0.0,6.1,8.3,0,,,,,,,,,,False
5350403.11,21.2,23.8,0.0,5.3,7.9,0,,,,,,,,,,False
5350403.12,21.1,23.8,0.0,5.3,7.9,0,,,,,,,,,,False
5350403.13,21.1,24.0,0.0,5.2,7.6,0,,,,,,,,,,False
5350403.14,21.2,23.9,0.0,5.3,7.9,0,,,,,,,,,,False
5350411.15,21.2,23.6,0.0,7.1,14.0,0,,,,,,,,,,False
5350412.19,22.1,24.5,0.0,9.5,13.7,0,,,,,,,,,,False
5350412.2,21.8,24.2,0.0,9.1,13.7,0,,,,,,,,,,False
5350576.55,22.4,23.7,0.0,10.7,15.1,0,,,,,,,,,,False
5350576.57,22.8,25.0,0.0,11.3,13.7,0,,,,,,,,,,False
5350576.59,22.3,23.7,0.0,10.7,15.1,0,,,,,,,,,,False
5350576.62,21.9,23.9,0.0,12.2,15.1,0,,,,,,,,,,False
5350576.63,22.7,24.9,0.0,11.3,13.7,0,,,,,,,,,,False
5350576.65,21.9,23.9,0.0,12.2,15.1,0,,,,,,,,,,False
5350576.66,22.6,24.1,0.0,9.7,14.4,0,,,,,,,,,,False
5350576.68,22.8,24.6,0.0,10.2,14.8,0,,,,,,,,,,False
5350576.69,22.8,24.7,0.0,10.2,14.8,0,,,,,,,,,,False
5350400.02,21.2,24.1,0.0,5.2,7.6,0,,,,,,,,,,False
5350402.01,21.9,24.6,0.0,8.2,9.4,0,,,,,,,,,,False
5350402.02,22.1,24.8,0.0,7.9,9.4,0,,,,,,,,,,False
5350402.03,22.1,24.8,0.0,7.9,9.4,0,,,,,,,,,,False
5350422.02,21.2,23.4,0.0,6.9,14.8,0,,,,,,,,,,False
5350411.16,20.7,22.7,0.0,7.6,14.8,0,,,,,,,,,,False
5350411.17,21.2,23.5,0.0,7.0,14.8,0,8.166666666666666,60.833333333333336,135.66666666666666,46.5,940.2666666666668,3.3333333333333335,50.8,47.4,17.47157320872274,False
5350411.18,21.2,23.6,0.0,7.0,14.0,0,10.833333333333334,65.5,135.66666666666666,42.833333333333336,947.1166666666668,3.0,50.7,44.2,17.896183800623053,False
5350411.19,21.5,23.9,0.0,7.0,14.0,0,10.833333333333334,65.5,135.66666666666666,42.833333333333336,947.1166666666668,3.0,50.7,44.2,17.896183800623053,False
5350400.19,21.2,24.1,0.0,5.2,7.6,0,6.5,59.333333333333336,136.33333333333334,43.833333333333336,993.5666666666666,3.3333333333333335,51.1,43.3,17.579906542056072,False
5350400.2,21.1,24.4,0.0,4.3,7.2,0,,,,,,,,,,False
5370081.0,22.8,25.0,0.0,8.4,11.5,0,,,,,,,,,,False
5370082.0,21.9,25.1,0.0,2.2,11.2,0,,,,,,,,,,False
5370083.0,21.9,25.1,0.0,2.2,11.2,0,,,,,,,,,,False
5350400.21,21.1,24.5,0.0,4.3,7.6,0,6.5,59.333333333333336,136.33333333333334,43.833333333333336,993.5666666666666,3.3333333333333335,51.1,43.3,17.579906542056072,False
5350400.22,21.3,24.7,0.0,4.3,7.6,0,6.5,59.333333333333336,136.33333333333334,43.833333333333336,993.5666666666666,3.3333333333333335,51.1,43.3,17.579906542056072,False
5370124.0,22.5,24.6,0.0,8.7,11.9,0,,,,,,,,,,False
5350424.14,20.7,22.8,0.0,6.9,15.5,0,8.166666666666666,60.833333333333336,135.66666666666666,46.5,940.2666666666668,3.3333333333333335,50.8,47.4,17.47157320872274,False
5370131.0,23.0,25.1,0.0,9.4,11.2,0,,,,,,,,,,False
5370132.0,23.2,25.3,0.0,8.9,11.2,0,,,,,,,,,,False
5350424.15,20.8,22.9,0.0,6.9,15.5,0,6.0,58.666666666666664,137.16666666666666,48.833333333333336,933.0666666666666,3.0,50.9,47.4,17.24563862928349,False
5350424.16,20.8,22.8,0.0,7.2,15.1,0,8.166666666666666,60.833333333333336,135.66666666666666,46.5,940.2666666666668,3.3333333333333335,50.8,47.4,17.47157320872274,False
5350400.23,21.4,24.7,0.0,4.5,7.6,0,7.0,61.666666666666664,129.83333333333334,38.0,990.9166666666666,3.6666666666666665,52.8,45.8,17.822819314641745,False
5350411.21,21.6,24.2,0.0,7.8,13.7,0,,,,,,,,,,False
5350411.22,21.3,23.7,0.0,7.1,14.0,0,,,,,,,,,,False
5350411.23,21.6,24.2,0.0,7.5,13.7,0,,,,,,,,,,False
5350411.24,21.3,23.6,0.0,7.8,14.0,0,,,,,,,,,,False
5350411.25,21.4,23.7,0.0,7.8,14.0,0,,,,,,,,,,False
5350424.13,21.0,23.2,0.0,6.4,14.8,0,,,,,,,,,,False
5350516.47,20.3,22.3,0.0,13.0,16.9,0,,,,,,,,,,False
5350575.07,22.2,24.0,0.0,10.9,15.1,0,,,,,,,,,,False
5350575.08,22.0,24.0,0.0,11.2,14.8,0,,,,,,,,,,False
5350576.45,22.5,24.5,0.0,10.5,15.1,0,,,,,,,,,,False
5350576.46,22.5,24.4,0.0,10.5,15.1,0,,,,,,,,,,False
5350576.47,22.8,24.5,0.0,10.2,14.8,0,,,,,,,,,,False
